"Designator","Component Value","Footprint","Place X","Place Y","Rotation","Side"
"D3","1N4007F","SODFL4626X110N","105.430","63.389","270.000","Top"
"5v_B","1WP","DSC","11.505","35.094","0.000","Top"
"cPH","1WP","DSC","103.515","26.064","0.000","Top"
"cPH_B","1WP","DSC","25.810","47.604","0.000","Top"
"TP5v","1WP","DSC","120.565","37.914","0.000","Top"
"C3","6TPE220MAZB","CAPPM3528X200N","118.415","41.864","0.000","Top"
"C4","6TPE220MAZB","CAPPM3528X200N","118.365","45.864","0.000","Top"
"C30","6TPE220MAZB","CAPPM3528X200N","10.715","48.564","180.000","Top"
"C31","6TPE220MAZB","CAPPM3528X200N","10.490","44.464","180.000","Top"
"C1","50SVPF68M","CAPAE1030X1270N","94.415","40.049","180.000","Top"
"C26","50SVPF68M","CAPAE1030X1270N","93.815","26.564","180.000","Top"
"C29","50SVPF68M","CAPAE1030X1270N","37.675","39.939","0.000","Top"
"C38","50SVPF68M","CAPAE1030X1270N","37.675","26.564","0.000","Top"
"C20","08051A220JATDA","SM0805","11.905","87.154","135.000","Top"
"C21","08051A220JATDA","SM0805","18.120","85.524","45.000","Top"
"C2","08055C103KATDA","C0805","103.515","22.359","270.000","Top"
"C7","08055C103KATDA","C0805","92.175","63.154","270.000","Top"
"C9","08055C103KATDA","C0805","92.160","67.852","90.000","Top"
"C11","08055C103KATDA","C0805","59.315","106.693","90.000","Top"
"C15","08055C103KATDA","C0805","30.494","83.256","225.000","Top"
"C17","08055C103KATDA","C0805","75.935","107.288","0.000","Top"
"C19","08055C103KATDA","C0805","38.584","91.111","225.000","Top"
"C24","08055C103KATDA","C0805","59.485","91.413","0.000","Top"
"C37","08055C103KATDA","C0805","21.040","18.659","270.000","Top"
"C5","08055C104KATDA","C0805","90.080","67.844","90.000","Top"
"C8","08055C104KATDA","C0805","57.175","106.693","90.000","Top"
"C10","08055C104KATDA","C0805","124.335","76.709","270.000","Top"
"C12","08055C104KATDA","C0805","90.075","63.164","270.000","Top"
"C14","08055C104KATDA","C0805","75.935","109.447","0.000","Top"
"C25","08055C104KATDA","C0805","59.485","89.113","0.000","Top"
"C27","08055C104KATDA","C0805","103.850","9.539","90.000","Top"
"C28","08055C104KATDA","C0805","107.665","16.369","90.000","Top"
"C32","08055C104KATDA","C0805","48.370","108.754","90.000","Top"
"C39","08055C104KATDA","C0805","38.720","8.289","180.000","Top"
"C40","08055C104KATDA","C0805","30.135","11.794","90.000","Top"
"C22","08055C222KATDA","C0805","53.365","95.574","0.000","Top"
"C23","08055C222KATDA","C0805","55.830","101.899","180.000","Top"
"microSD","2201778-1","22017781","93.985","29.909","270.000","Bottom"
"J2","2301995-3","23019953_2","27.680","96.424","135.000","Top"
"RGB","61201621621","SHDR16W79P254_2X8_2798X910X925","66.155","115.604","0.000","Top"
"Y3","ABM3B-8.000MHZ-10-1-U-T","ABM3B","55.875","98.578","0.000","Top"
"Y1","ABM3B-25.000MHZ-10-1-U-T","ABM3B","14.821","83.910","45.000","Top"
"FL1","BLM21BB050SH1D_250_100Mhz_0805","BLM21BB050SH1D","40.504","93.047","45.000","Top"
"FL2","BLM21BB050SH1D_250_100Mhz_0805","BLM21BB050SH1D","117.750","69.619","270.000","Top"
"FL3","BLM21BB050SH1D_250_100Mhz_0805","BLM21BB050SH1D","105.325","69.419","270.000","Top"
"USB-5V","CONN_SIL_2","DSC","118.336","89.781","0.000","Top"
"PRGM","CONN_SIL_5","DSC","109.465","86.594","0.000","Top"
"CONN3","CONN_SIL_8P","DSC","65.930","83.929","0.000","Top"
"C16","EEEFK1C101AP","FKV(D)","116.740","60.738","90.000","Top"
"ENC28J60","ENC28J60_SS","SOP65P780X200-28N","23.860","78.829","315.000","Top"
"Fid1","Fiducial","USER","35.530","16.654","0.000","Top"
"Fid2","Fiducial","USER","96.475","111.314","0.000","Top"
"Fid3","Fiducial","USER","35.440","111.314","0.000","Top"
"Fid4","Fiducial","USER","96.295","16.789","0.000","Top"
"3V","LG_R971","LEDC2012X90N","87.475","70.804","270.000","Top"
"5V","LG_R971","LEDC2012X90N","88.380","57.399","90.000","Top"
"5VB","LG_R971","LEDC2012X90N","5.360","58.289","270.000","Top"
"LM117","LM1117IMPX3.3_NOPB","SOT230P700X180-4N","97.890","64.659","0.000","Top"
"PIC32MZ","PIC32MZ2048EFH064-250I_PT","QFP50P1200X1200X120-64N","66.850","98.924","180.000","Top"
"R19","R 0.1W SMTF 0","SM0805","51.170","93.324","0.000","Top"
"R14","R 0.1W SMTF 1.0K","SM0805","15.340","90.004","225.000","Top"
"R15","R 0.1W SMTF 1.0K","SM0805","16.855","91.544","225.000","Top"
"R16","R 0.1W SMTF 1.0K","SM0805","120.035","84.014","180.000","Top"
"R17","R 0.1W SMTF 1.0K","SM0805","91.115","57.444","270.000","Top"
"R18","R 0.1W SMTF 1.0K","SM0805","87.485","74.739","270.000","Top"
"R23","R 0.1W SMTF 1.0K","SM0805","6.370","61.999","0.000","Top"
"R26","R 0.1W SMTF 1.0K","SM0805","50.405","109.094","270.000","Top"
"R25","R 0.1W SMTF 1M","SM0805","41.240","109.099","270.000","Top"
"R9","R 0.1W SMTF 2.7K","SM0805","26.355","70.314","45.000","Top"
"R2","R 0.1W SMTF 3.3K","SM0805","110.015","16.464","270.000","Top"
"R21","R 0.1W SMTF 3.3K","SM0805","28.075","11.814","270.000","Top"
"R1","R 0.1W SMTF 10K","SM0805","113.110","18.464","270.000","Top"
"R3","R 0.1W SMTF 10K","SM0805","29.340","73.364","225.000","Top"
"R4","R 0.1W SMTF 10K","SM0805","27.835","71.884","225.000","Top"
"R5","R 0.1W SMTF 10K","SM0805","124.385","72.214","270.000","Top"
"R20","R 0.1W SMTF 10K","SM0805","25.715","11.814","90.000","Top"
"R27","R 0.1W SMTF 27","SM0805","46.305","108.979","270.000","Top"
"R28","R 0.1W SMTF 27","SM0805","43.865","109.009","270.000","Top"
"R10","R 0.1W SMTF 47","SM0805","32.145","85.004","225.000","Top"
