Designator,Footprint,Mid X,Mid Y,Layer,Rotation
C1,CAPAE1030X1270N,27.75,33.33,Top,0
C26,CAPAE1030X1270N,20.35,21.73,Top,0
C2,C0805,5.83,46.53,Top,0
C3,CAPPM3528X200N,23.45,42.86,Top,270
C4,CAPPM3528X200N,27.45,42.86,Top,270
C5,C0805,20.63,13.32,Top,90
C6,CAPPM3216X180N,59.98,39.83,Top,0
C7,C0805,16.08,12.07,Top,90
C8,C0805,59,36.51,Top,270
C9,C0805,18.33,13.27,Top,90
C10,C0805,56.13,11.72,Top,90
C11,C0805,61.25,36.51,Top,270
C12,C0805,13.93,12.07,Top,90
C13,CAPPM3216X180N,61.15,25.41,Top,180
C14,C0805,54.77,17.8,Top,0
C15,C0805,30.75,66,Top,180
C16,FKV(D),34.63,18.68,Top,90
C17,C0805,54.78,15.58,Top,0
C18,CAPPM3216X180N,41.58,43.21,Top,0
C19,C0805,30.75,79.88,Top,180
C20,SM0805,38.99,59.71,Top,0
C21,SM0805,38.97,62.98,Top,0
C22,C0805,42.69,29.38,Top,180
C23,C0805,42.18,22.48,Top,0
C24,C0805,39.3,34.88,Top,180
C25,C0805,39.31,37.08,Top,180
C27,C0805,18.7,41.79,Top,270
D1,SMC_DPAK,13.5,51.35,Top,90
D3,SODFL4626X110N,37.55,6.71,Top,90
D4,DIONM5436X244N,15.2,32.88,Top,90
D5,DIONM5336X245N,15.2,40.18,Top,90
ETH,23019949,13.81,72.23,Top,270
F1,RKEF075,10,34.9,Top,90
F2,RUEF300,13.32,3.42,Top,180
Fid1,USER,3.15,3.17,Top,0
Fid2,USER,3.17,86.22,Top,0
Fid3,USER,64.4,86.22,Top,0
Fid4,USER,64.35,3.15,Top,0
FL1,BLM21BB050SH1D,35.74,79.08,Top,90
IC1,SOIC127P600X170-9N,5.78,42.38,Top,0
IC2,SOT230P700X180-4N,26.88,11.68,Top,0
IC4,SOIC127P1030X265-28N,49.25,51.11,Top,90
J1,SHDR4W100P0X508_1X4_2132X1200X,6.3,19.38,Top,270
L1,INDPM125128X600N,25.13,52.88,Top,0
PIC32,SOIC127P1030X265-28N,51.68,28.68,Top,0
PRGM,DSC,44.7,13.5,Top,270
R1,SM0805,3.29,36.58,Top,180
R2,SM0805,5.19,33.78,Top,180
R3,SM0805,46.05,42.3,Top,90
R4,SM0805,49.25,42.3,Top,90
R5,SM0805,53.47,11.48,Top,0
R6,SM0805,61.26,28.51,Top,180
R7,SM0805,61.26,30.75,Top,180
R8,SM0805,61.26,33.11,Top,180
R9,SM0805,57.46,43.81,Top,180
R10,SM0805,30.51,69.38,Top,180
R11,SM0805,30.51,71.88,Top,180
R12,SM0805,30.51,76.88,Top,180
R13,SM0805,30.51,74.42,Top,180
R14,SM0805,8.04,60.38,Top,180
R15,SM0805,14.99,60.43,Top,180
R16,SM0805,42.5,36.24,Top,90
R17,SM0805,19.08,7.87,Top,90
R18,SM0805,32.98,8.17,Top,90
RGB,61201621721,52.94,72.89,Top,0
RST,TL1105CF160Q,62.03,11.98,Top,90
TP5v,DSC,32.08,44.16,Top,0
TP24V,DSC,7.45,52.96,Top,0
Y1,ABM3B,44.25,61.03,Top,90
Y3,ABM3B,42.13,26.37,Top,180
